log_id,task_title,bullet_text,log_date,task_links,screenshot_b64,doc_attachment_b64,doc_attachment_name,parsed_date,log_timestamp
1,Weekly tasks - carousel update,"2 books added to each category (Trending, Books Under £5, Bestsellers, Bestselling Fiction)",2026-05-26,,,,,2026-05-26,
2,Set up email campaign for New Books for Summer,Campaign drafted,2026-05-26,https://www.awesomebooks.com/new-books,,,,2026-05-26,
3,Angolia Metrics Update,Week of 18/05/26 - 24/05/26 updated,2026-05-26,,,,,2026-05-26,
4,Flow metrics update,metrics for week 18/05/26 - 24/05/26 has been updated,2026-05-26,,,,,2026-05-26,
5,Flow metrics update,metrics for week 18/05/26 - 24/05/26 has been updated,2026-05-26,,,,,2026-05-26,
6,Google Analytics metrics update,"Metrics updated for "" Must Read Classics """,2026-05-26,,,,,2026-05-26,
1,Add new ISBN's to Holiday bargains,"I tried adding the new ISBNs on the category page: https://admincms.awesomebooks.com/category/custom/8601/edit but it's not adding on the list, I think because 30 ISBNs is the limit?",2026-05-28,,,,,2026-05-28,
